id,category,product_name,product_type,quantity,units,batch_number,mfg_date,expiry_date,selling_price,gst,product_code,created_by,created_at,updated_at,modified_by,actual_price,is_active,selling_price2,selling_price3
42,3,Automatic Sanitizer,Sales,20,nos,,,,,,SA-50,1,15-07-2021 00:00,,,5600,TRUE,,
43,4,Blue Sticky Traps,Sales,20,nos,,,,,,SA-51,1,15-07-2021 00:00,,,19,TRUE,,
44,4,Yellow Sticky Traps,Sales,20,nos,,,,,,SA-52,1,15-07-2021 00:00,,,19,TRUE,,
45,5,Choke 40 W,Sales,20,nos,,,,,,SA-53,1,15-07-2021 00:00,,,110,TRUE,,
46,5,EBS- Gravity Choke,Sales,20,nos,,,,,,SA-54,1,15-07-2021 00:00,,,169,TRUE,,
47,5,Starter S2,Sales,20,nos,,,,,,SA-55,1,15-07-2021 00:00,,,30,TRUE,,
48,5,HF-S3/414 Choke 220-240V,Sales,20,nos,,,,,,SA-56,1,15-07-2021 00:00,,,649,TRUE,,
1,1,1/4'' Elbow,Sales,20,nos,,,,,,SA-57,1,15-07-2021 00:00,,,67,TRUE,,
2,1,1/4'' Valve,Sales,20,nos,,,,,,SA-58,1,15-07-2021 00:00,,,50,TRUE,,
3,1,1/4 x 8 Pipe Black,Sales,20,nos,,,,,,SA-59,1,15-07-2021 00:00,,,59,TRUE,,
90,16,Ant Attractant,Service,20,gram,AB0601,,,,,SA-60,1,15-07-2021 00:00,,,10,TRUE,,
4,1,Air Cylinder 25dia,Sales,20,nos,,,,,,SA-61,1,15-07-2021 00:00,,,1021,TRUE,,
92,16,Cockroach Attractant,Service,20,gram,CG0601,,,,,SA-62,1,15-07-2021 00:00,,,7,TRUE,,
5,1,Cartridge Heater,Sales,20,nos,,,,,,SA-63,1,15-07-2021 00:00,,,1550,TRUE,,
6,1,Chart Paper for Recorder,Sales,20,nos,,,,,,SA-64,1,15-07-2021 00:00,,,155,TRUE,,
7,1,Chino Recorder Ribbon Cassette (100MM),Sales,20,nos,,,,,,SA-65,1,15-07-2021 00:00,,,2200,TRUE,,
8,1,Class-5 Indicator,Sales,20,nos,,,,,,SA-66,1,15-07-2021 00:00,,,8,TRUE,,
9,1,Data Logger,Sales,20,nos,,,,,,SA-67,1,15-07-2021 00:00,,,81900,TRUE,,
10,1,Digital Timer,Sales,20,nos,,,,,,SA-68,1,15-07-2021 00:00,,,2750,TRUE,,
11,1,Door Handle16 CF & 24 CF,Sales,20,nos,,,,,,SA-69,1,15-07-2021 00:00,,,2800,TRUE,,
49,5,UV Fly Control Board,Sales,20,nos,,,,,,SA-70,1,15-07-2021 00:00,,,31,TRUE,,
50,5,UV Tube - 1.5 ft  Cotted,Sales,20,nos,,,,,,SA-71,1,15-07-2021 00:00,,,650,TRUE,,
51,5,UV Tube 1.5ft Normal,Sales,20,nos,,,,,,SA-72,1,15-07-2021 00:00,,,170,TRUE,,
52,6,Electric Glue Pad Fly Trap (Plastic),Sales,20,nos,,,,,,SA-73,1,15-07-2021 00:00,,,3800,TRUE,,
53,6,Gravity 2X 15W White,Sales,20,nos,,,,,,SA-74,1,15-07-2021 00:00,,,2750,TRUE,,
54,6,Gravity 3x15w Sleeved White,Sales,20,nos,,,,,,SA-75,1,15-07-2021 00:00,,,4510,TRUE,,
55,6,Gravity 3X 15W White,Sales,20,nos,,,,,,SA-76,1,15-07-2021 00:00,,,3375,TRUE,,
56,7,Eliminator - Fly Killer Machine,Sales,20,nos,,,,,,SA-77,1,15-07-2021 00:00,,,2950,TRUE,,
57,7,Eliminator Fly Trap,Sales,20,nos,,,,,,SA-78,1,15-07-2021 00:00,,,2392,TRUE,,
58,9,Flycobait - 25Gm Pouch,Sales,20,nos,,,,,,SA-79,1,15-07-2021 00:00,,,9,TRUE,,
59,9,Fly Lure - GFL,Sales,20,nos,,,,,,SA-80,1,15-07-2021 00:00,,,20,TRUE,,
60,9,Fly Trap - GFT,Sales,20,nos,,,,,,SA-81,1,15-07-2021 00:00,,,6,TRUE,,
61,9,Fruit Fly Trap,Sales,20,nos,,,,,,SA-82,1,15-07-2021 00:00,,,37,TRUE,,
62,9,Green Tuta Lure,Sales,20,nos,,,,,,SA-83,1,15-07-2021 00:00,,,18,TRUE,,
63,9,Power Line Chalk,Sales,20,nos,,,,,,SA-84,1,15-07-2021 00:00,,,5,TRUE,,
64,11,Gum Green Trap Big,Sales,20,nos,,,,,,SA-85,1,15-07-2021 00:00,,,26,TRUE,,
65,11,Gum Green Trap Small,Sales,20,nos,,,,,,SA-86,1,15-07-2021 00:00,,,13,TRUE,,
67,12,Rodent Box,Sales,20,nos,,,,,,SA-87,1,15-07-2021 00:00,,,205,TRUE,,
68,13,Kwik Sleep Herbal Spray 100ml,Sales,20,nos,,,,,,SA-88,1,15-07-2021 00:00,,,88,TRUE,,
70,14,Sanitizer 500 ML,Sales,20,nos,,,,,,SA-89,1,15-07-2021 00:00,,,140,TRUE,,
72,14,Thermometer,Sales,20,nos,,,,,,SA-90,1,15-07-2021 00:00,,,2000,TRUE,,
73,14,Zytol 100ml,Sales,20,nos,,,,,,SA-91,1,15-07-2021 00:00,,,22,TRUE,,
74,14,Zytol  500ml,Sales,20,nos,,,,,,SA-92,1,15-07-2021 00:00,,,91,TRUE,,
