id,category,product_name,product_type,quantity,units,batch_number,mfg_date,expiry_date,actual_price,selling_price,gst,product_code,created_by,created_at,updated_at,modified_by,actual_price,is_active,selling_price2,selling_price3
,9,Fly Lure - GFL,Sales,25,nos,,,,20.42,20.42,,SA-181,1,,,,,TRUE,,
,9,Fly Trap - GFT,Sales,25,nos,,,,6.33,6.33,,SA-182,1,,,,,TRUE,,
,9,Fruit Fly Trap,Sales,25,nos,,,,37.09,37.09,,SA-183,1,,,,,TRUE,,
,9,Green Tuta Lure,Sales,25,nos,,,,18.25,18.25,,SA-184,1,,,,,TRUE,,
,9,Power Line Chalk,Sales,25,nos,,,,5.3,5.3,,SA-185,1,,,,,TRUE,,
,11,Gum Green Trap Big,Sales,25,nos,,,,26.9,26.9,,SA-186,1,,,,,TRUE,,
,11,Gum Green Trap Small,Sales,25,nos,,,,13.95,13.95,,SA-187,1,,,,,TRUE,,
,12,Ratcon Cake - 100gm,Sales,25,Pkts,,,,11.5,11.5,,SA-188,1,,,,,TRUE,,
,12,Rodent Box,Sales,25,nos,,,,205.59,205.59,,SA-189,1,,,,,TRUE,,
,13,Kwik Sleep Herbal Spray 100ml,Sales,25,nos,,,,88.99,88.99,,SA-190,1,,,,,TRUE,,
,13,Kwik Sleep Incense Sticks,Sales,25,Dozen,,,,50,50,,SA-191,1,,,,,TRUE,,
,14,Sanitizer 500 ML,Sales,25,nos,,,,140,140,,SA-192,1,,,,,TRUE,,
,14,Sanitizer 5 Ltr,Sales,25,Ltr,,,,290,290,,SA-193,1,,,,,TRUE,,
,14,Thermometer,Sales,25,nos,,,,2000,2000,,SA-194,1,,,,,TRUE,,
,14,Zytol 100ml,Sales,25,nos,,,,22.04,22.04,,SA-195,1,,,,,TRUE,,
,14,Zytol  500ml,Sales,25,nos,,,,91.7,91.7,,SA-196,1,,,,,TRUE,,
,14,Zytol - 5 Ltr,Sales,25,nos,,,,800,800,,SA-197,1,,,,,TRUE,,
,15,Budenat IM,Service,25,ml,BR191094,,,360,360,,SE-123,1,,,,,TRUE,,
,15,Kingfog 1 Ltr,Service,25,ml,,,,1680,1680,,SE-124,1,,,,,TRUE,,
,15,K-Othrin,Service,25,ml,PGSC000076,,,1.23,1.23,,SE-125,1,,,,,TRUE,,
,15,Premise 5 Ltr,Service,25,ml,PGSC000072,,,2490,2490,,SE-126,1,,,,,TRUE,,
,15,Responser 1 Ltr,Service,25,ml,PGSC000068,,,750,750,,SE-127,1,,,,,TRUE,,
,15,Solfac,Service,25,ml,SEWDB19011,,,1510,1510,,SE-128,1,,,,,TRUE,,
,15,Temprid - 500ml,Service,25,ml,PGSC000009,,,3903,3903,,SE-129,1,,,,,TRUE,,
,15,Termiseal-G(1kg),Service,25,gram,HI2018,,,589,589,,SE-130,1,,,,,TRUE,,
,15,Transportex 1 Ltr,Service,25,ml,20KTX012,,,1060,1060,,SE-131,1,,,,,TRUE,,
,15,Virozil Pharma,Service,25,ml,VP520013,,,330,330,,SE-132,1,,,,,TRUE,,
,15,Zoono Surface Sanitizer,Service,25,ml,B55219,,,4300,4300,,SE-133,1,,,,,TRUE,,
,16,Bioassay Vials - RFB,Service,25,nos,T2008,,,120,120,,SE-134,1,,,,,TRUE,,
,16,Quick Bayt 50gm,Service,25,nos,424065,,,88.98,88.98,,SE-135,1,,,,,TRUE,,
,16,Ratcon Cake Service,Service,25,nos,RBT-20109,,,11.5,11.5,,SE-136,1,,,,,TRUE,,
,16,Ant Attractant,Service,25,gram,AB0601,,,10,10,,SE-137,1,,,,,TRUE,,
,16,Carbol-N 100gm,Service,25,nos,8077,,,109.2,109.2,,SE-138,1,,,,,TRUE,,
,16,Cockroach Attractant,Service,25,gram,CG0601,,,7.71,7.71,,SE-139,1,,,,,TRUE,,
,17,Gum Green Big (Service),Service,25,nos,PGGB401,,,26.85,26.85,,SE-140,1,,,,,TRUE,,
,17,Gum Green Small (Service),Service,25,nos,PGGS403,,,13.99,13.99,,SE-141,1,,,,,TRUE,,
,17,Glue Trap (Lizard Trap),Service,25,nos,NIL,,,40.11,40.11,,SE-142,1,,,,,TRUE,,
,18,CB Rebait Kit,Service,25,nos,NIL,,,1786,1786,,SE-143,1,,,,,TRUE,,
,18,CFB/RFB Rebait Kit,Service,25,nos,NIL,,,1786,1786,,SE-144,1,,,,,TRUE,,
,18,Storgard Dome Kit CB+K,Service,25,nos,NIL,,,2498.66,2498.66,,SE-145,1,,,,,TRUE,,
,18,Storgard Dome Kit CFB/RFB,Service,25,nos,NIL,,,2498.66,2498.66,,SE-146,1,,,,,TRUE,,
,19,Anchor Buckle - M,Service,25,nos,NIL,,,18,18,,SE-147,1,,,,,TRUE,,
,19,Anti Bird Net 19mm Black 10x30M,Service,25,sq.m,NIL,,,44,44,,SE-148,1,,,,,TRUE,,
,19,Anti Bird Net 19 mm White 10 x 30 M,Service,25,sq.m,NIL,,,44,44,,SE-149,1,,,,,TRUE,,
,19,Anti Bird Net 50mm Black 10x30 M,Service,25,sq.m,NIL,,,14.85,14.85,,SE-150,1,,,,,TRUE,,
,19,Anti Bird Net 50mm White 10 x 30 M,Service,25,sq.m,NIL,,,17.78,17.78,,SE-151,1,,,,,TRUE,,
,19,Copper Ferruls 2mm,Service,25,nos,NIL,,,3,3,,SE-152,1,,,,,TRUE,,
,19,Fisher Plugs (M6),Service,25,nos,NIL,,,1.12,1.12,,SE-153,1,,,,,TRUE,,
,19,Screw Pin,Service,25,nos,NIL,,,1.92,1.92,,SE-154,1,,,,,TRUE,,
,19,SS304 Hog Ring,Service,25,nos,NIL,,,0.26,0.26,,SE-155,1,,,,,TRUE,,
,19,SS304 Wire Rope,Service,25,Metre,NIL,,,8.79,8.79,,SE-156,1,,,,,TRUE,,
,19,SS Bird Spike,Service,25,nos,NIL,,,,,,SE-157,1,,,,,TRUE,,
,19,Turnbuckle M5,Service,25,nos,NIL,,,65,65,,SE-158,1,,,,,TRUE,,
,19,Zip,Service,25,nos,NIL,,,24,24,,SE-159,1,,,,,TRUE,,
,20,Nose Mask Venus V-90,Service,25,nos,NIL,,,,,,SE-160,1,,,,,TRUE,,
,21,Roda Box Service,Service,25,nos,NIL,,,205,205,,SE-161,1,,,,,TRUE,,
